Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,351500.000000,354500.000000,343000.000000,347500.000000,347500.000000,2006483
2021-01-05,351500.000000,356000.000000,345000.000000,354500.000000,354500.000000,1255776
2021-01-06,357000.000000,359500.000000,353500.000000,353500.000000,353500.000000,977528
2021-01-07,355000.000000,359500.000000,351000.000000,357500.000000,357500.000000,956548
2021-01-08,359500.000000,370000.000000,356000.000000,367000.000000,367000.000000,1719926
2021-01-11,377000.000000,386500.000000,367000.000000,374000.000000,374000.000000,2624781
2021-01-12,380500.000000,387000.000000,370000.000000,384000.000000,384000.000000,2475166
2021-01-13,380000.000000,390000.000000,375000.000000,381500.000000,381500.000000,2083610
2021-01-14,366000.000000,374000.000000,351000.000000,352500.000000,352500.000000,3425555
2021-01-15,349000.000000,349500.000000,325500.000000,329000.000000,329000.000000,3398281
2021-01-18,327500.000000,346000.000000,314000.000000,314000.000000,314000.000000,2601181
2021-01-19,308000.000000,317000.000000,296500.000000,312500.000000,312500.000000,3300220
2021-01-20,315500.000000,324000.000000,308000.000000,311000.000000,311000.000000,1395424
2021-01-21,314000.000000,317500.000000,306500.000000,312000.000000,312000.000000,1083926
2021-01-22,312500.000000,315500.000000,308000.000000,310000.000000,310000.000000,835242
2021-01-25,311500.000000,322000.000000,311000.000000,321000.000000,321000.000000,941127
2021-01-26,327500.000000,335000.000000,321500.000000,322500.000000,322500.000000,1256043
2021-01-27,326000.000000,333000.000000,318000.000000,329000.000000,329000.000000,1013961
2021-01-28,319500.000000,338000.000000,316000.000000,334500.000000,334500.000000,1488920
2021-01-29,334500.000000,339000.000000,322500.000000,324000.000000,324000.000000,1076910
2021-02-01,334000.000000,383000.000000,333000.000000,371000.000000,371000.000000,6018601
2021-02-02,370000.000000,370000.000000,352500.000000,355500.000000,355500.000000,2321590
2021-02-03,357500.000000,359500.000000,338000.000000,347500.000000,347500.000000,1922464
2021-02-04,345000.000000,349500.000000,337500.000000,341500.000000,341500.000000,1099579
2021-02-05,347500.000000,355000.000000,335000.000000,341500.000000,341500.000000,1997418
2021-02-08,350000.000000,351500.000000,336000.000000,336000.000000,336000.000000,784558
2021-02-09,336000.000000,337500.000000,328000.000000,328000.000000,328000.000000,984780
2021-02-10,326500.000000,332000.000000,324500.000000,332000.000000,332000.000000,734865
2021-02-15,340000.000000,343500.000000,333000.000000,333000.000000,333000.000000,1188210
2021-02-16,335000.000000,335500.000000,324500.000000,325000.000000,325000.000000,827534
2021-02-17,324500.000000,329000.000000,315500.000000,321500.000000,321500.000000,951224
2021-02-18,320000.000000,326500.000000,314500.000000,314500.000000,314500.000000,671084
2021-02-19,310500.000000,318500.000000,306000.000000,318500.000000,318500.000000,855583
2021-02-22,322000.000000,322500.000000,308500.000000,309500.000000,309500.000000,725100
2021-02-23,311000.000000,312500.000000,296000.000000,296000.000000,296000.000000,1261921
2021-02-24,292500.000000,301000.000000,282000.000000,282000.000000,282000.000000,1494863
2021-02-25,290500.000000,309000.000000,286500.000000,308000.000000,308000.000000,1378139
2021-02-26,300000.000000,304000.000000,292000.000000,297500.000000,297500.000000,1062427
2021-03-02,302500.000000,307000.000000,288500.000000,291500.000000,291500.000000,909178
2021-03-03,292500.000000,306000.000000,290000.000000,303000.000000,303000.000000,878080
2021-03-04,303000.000000,310000.000000,297500.000000,306500.000000,306500.000000,772420
2021-03-05,305000.000000,307000.000000,300000.000000,301500.000000,301500.000000,469774
2021-03-08,304000.000000,304000.000000,290500.000000,291000.000000,291000.000000,595881
2021-03-09,288000.000000,292000.000000,280500.000000,287500.000000,287500.000000,853291
2021-03-10,291500.000000,296500.000000,284000.000000,285500.000000,285500.000000,494901
2021-03-11,285500.000000,296500.000000,284500.000000,293000.000000,293000.000000,660641
2021-03-12,296000.000000,301000.000000,293000.000000,297000.000000,297000.000000,416941
2021-03-15,296500.000000,297000.000000,289000.000000,289000.000000,289000.000000,474511
2021-03-16,290500.000000,298000.000000,289000.000000,296500.000000,296500.000000,410799
2021-03-17,296500.000000,298000.000000,291000.000000,293500.000000,293500.000000,360539
2021-03-18,295500.000000,299500.000000,292000.000000,292000.000000,292000.000000,401776
2021-03-19,288000.000000,290500.000000,284000.000000,287000.000000,287000.000000,459008
2021-03-22,290000.000000,294500.000000,286000.000000,289000.000000,289000.000000,465736
