Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,136500.000000,144000.000000,136500.000000,142000.000000,142000.000000,1868234
2021-01-05,139000.000000,140000.000000,137000.000000,140000.000000,140000.000000,1602818
2021-01-06,148500.000000,150500.000000,137000.000000,137500.000000,137500.000000,5283488
2021-01-07,139500.000000,155000.000000,137000.000000,150000.000000,150000.000000,9782722
2021-01-08,145000.000000,151000.000000,140500.000000,147500.000000,147500.000000,9472733
2021-01-11,148500.000000,152000.000000,138000.000000,142000.000000,142000.000000,6584433
2021-01-12,140500.000000,147500.000000,135000.000000,138500.000000,138500.000000,4585235
2021-01-13,141000.000000,143500.000000,137000.000000,140000.000000,140000.000000,2589622
2021-01-14,138500.000000,150500.000000,138500.000000,147000.000000,147000.000000,5618859
2021-01-15,145500.000000,146000.000000,139500.000000,140000.000000,140000.000000,3051738
2021-01-18,141500.000000,145000.000000,138500.000000,139000.000000,139000.000000,2469549
2021-01-19,140000.000000,149500.000000,139000.000000,148000.000000,148000.000000,4114713
2021-01-20,148500.000000,167000.000000,146500.000000,167000.000000,167000.000000,10340439
2021-01-21,168500.000000,192500.000000,163500.000000,185000.000000,185000.000000,16304954
2021-01-22,183000.000000,193000.000000,177500.000000,177500.000000,177500.000000,7015098
2021-01-25,177500.000000,181000.000000,174500.000000,178000.000000,178000.000000,2710809
2021-01-26,179000.000000,181500.000000,169000.000000,170000.000000,170000.000000,3706727
2021-01-27,170000.000000,175500.000000,166500.000000,167000.000000,167000.000000,3244402
2021-01-28,163500.000000,167000.000000,161500.000000,164500.000000,164500.000000,2465978
2021-01-29,166500.000000,166500.000000,150500.000000,153000.000000,153000.000000,5396272
2021-02-01,153500.000000,159000.000000,150000.000000,158000.000000,158000.000000,3617362
2021-02-02,160000.000000,164000.000000,156000.000000,158000.000000,158000.000000,2620315
2021-02-03,160500.000000,166000.000000,159000.000000,165000.000000,165000.000000,3179393
2021-02-04,163000.000000,163000.000000,156000.000000,157500.000000,157500.000000,2660265
2021-02-05,159000.000000,160500.000000,154500.000000,158000.000000,158000.000000,1914947
2021-02-08,158000.000000,163500.000000,157000.000000,157000.000000,157000.000000,1895740
2021-02-09,158500.000000,168000.000000,157000.000000,161000.000000,161000.000000,3866170
2021-02-10,163500.000000,168500.000000,161000.000000,167500.000000,167500.000000,3256875
2021-02-15,170500.000000,171000.000000,165000.000000,165000.000000,165000.000000,2113807
2021-02-16,167000.000000,174000.000000,166000.000000,172500.000000,172500.000000,3199701
2021-02-17,172000.000000,177000.000000,169000.000000,176000.000000,176000.000000,2965260
2021-02-18,175000.000000,176500.000000,168500.000000,171000.000000,171000.000000,2499314
2021-02-19,170500.000000,172500.000000,164000.000000,168000.000000,168000.000000,2236161
2021-02-22,172500.000000,174500.000000,164500.000000,166000.000000,166000.000000,2511075
2021-02-23,161000.000000,162000.000000,157000.000000,157500.000000,157500.000000,2897046
2021-02-24,157500.000000,159000.000000,149000.000000,150000.000000,150000.000000,3061646
2021-02-25,153500.000000,154500.000000,151000.000000,154000.000000,154000.000000,1755139
2021-02-26,148000.000000,150500.000000,146000.000000,146500.000000,146500.000000,2453529
2021-03-02,150500.000000,152500.000000,147000.000000,149000.000000,149000.000000,1552321
2021-03-03,149000.000000,152000.000000,148000.000000,150500.000000,150500.000000,1033609
2021-03-04,148000.000000,148500.000000,145000.000000,146000.000000,146000.000000,1342531
2021-03-05,142500.000000,149500.000000,142000.000000,148500.000000,148500.000000,1479199
2021-03-08,149500.000000,150000.000000,142000.000000,143000.000000,143000.000000,1165677
2021-03-09,143500.000000,146000.000000,142000.000000,144500.000000,144500.000000,1530784
2021-03-10,148500.000000,149000.000000,142000.000000,142500.000000,142500.000000,1143711
2021-03-11,143500.000000,149000.000000,143500.000000,147500.000000,147500.000000,1651447
2021-03-12,149500.000000,154500.000000,149500.000000,152500.000000,152500.000000,1567260
2021-03-15,152500.000000,153500.000000,150500.000000,151500.000000,151500.000000,819248
2021-03-16,153500.000000,159500.000000,153000.000000,158000.000000,158000.000000,1996472
2021-03-17,158000.000000,161000.000000,155000.000000,158000.000000,158000.000000,1543163
2021-03-18,160500.000000,161000.000000,155500.000000,155500.000000,155500.000000,1400789
2021-03-19,151500.000000,154000.000000,151500.000000,153000.000000,153000.000000,1195480
