Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,81000.000000,84400.000000,80200.000000,83000.000000,82632.804688,38655276
2021-01-05,81600.000000,83900.000000,81600.000000,83900.000000,83528.820313,35335669
2021-01-06,83300.000000,84500.000000,82100.000000,82200.000000,81836.343750,42089013
2021-01-07,82800.000000,84200.000000,82700.000000,82900.000000,82533.250000,32644642
2021-01-08,83300.000000,90000.000000,83000.000000,88800.000000,88407.148438,59013307
2021-01-11,90000.000000,96800.000000,89500.000000,91000.000000,90597.414063,90306177
2021-01-12,90300.000000,91400.000000,87800.000000,90600.000000,90199.179688,48682416
2021-01-13,89800.000000,91200.000000,89100.000000,89700.000000,89303.164063,36068848
2021-01-14,88700.000000,90000.000000,88700.000000,89700.000000,89303.164063,26393970
2021-01-15,89800.000000,91800.000000,88000.000000,88000.000000,87610.687500,33431809
2021-01-18,86600.000000,87300.000000,84100.000000,85000.000000,84623.953125,43227951
2021-01-19,84500.000000,88000.000000,83600.000000,87000.000000,86615.109375,39895044
2021-01-20,89000.000000,89000.000000,86500.000000,87200.000000,86814.226563,25211127
2021-01-21,87500.000000,88600.000000,86500.000000,88100.000000,87710.242188,25318011
2021-01-22,89000.000000,89700.000000,86800.000000,86800.000000,86415.992188,30861661
2021-01-25,87000.000000,89900.000000,86300.000000,89400.000000,89004.492188,27258534
2021-01-26,88800.000000,89200.000000,86500.000000,86700.000000,86316.437500,33178936
2021-01-27,86600.000000,87700.000000,85600.000000,85600.000000,85221.304688,26423070
2021-01-28,83200.000000,85600.000000,83200.000000,83700.000000,83329.710938,31859808
2021-01-29,84500.000000,85000.000000,82000.000000,82000.000000,81637.226563,39615978
2021-02-01,81700.000000,83400.000000,81000.000000,83000.000000,82632.804688,28046832
2021-02-02,84100.000000,86400.000000,83700.000000,84400.000000,84026.609375,26302077
2021-02-03,84800.000000,85400.000000,83400.000000,84600.000000,84225.726563,22112205
2021-02-04,83500.000000,83800.000000,82100.000000,82500.000000,82135.015625,24171688
2021-02-05,83100.000000,84000.000000,82500.000000,83500.000000,83130.593750,18036835
2021-02-08,83800.000000,84200.000000,83000.000000,83000.000000,82632.804688,15338765
2021-02-09,84000.000000,84800.000000,82700.000000,82700.000000,82334.132813,20898332
2021-02-10,82600.000000,82600.000000,81600.000000,81600.000000,81239.000000,23025766
2021-02-15,83800.000000,84500.000000,83300.000000,84200.000000,83827.500000,23529706
2021-02-16,84500.000000,86000.000000,84200.000000,84900.000000,84524.398438,20483100
2021-02-17,83900.000000,84200.000000,83000.000000,83200.000000,82831.921875,18307735
2021-02-18,83200.000000,83600.000000,82100.000000,82100.000000,81736.789063,21327683
2021-02-19,82300.000000,82800.000000,81000.000000,82600.000000,82234.578125,25880879
2021-02-22,83800.000000,84200.000000,82200.000000,82200.000000,81836.343750,25419886
2021-02-23,81200.000000,82900.000000,81100.000000,82000.000000,81637.226563,20587314
2021-02-24,81800.000000,83600.000000,81300.000000,82000.000000,81637.226563,26807651
2021-02-25,84000.000000,85400.000000,83000.000000,85300.000000,84922.632813,34155986
2021-02-26,82800.000000,83400.000000,82000.000000,82500.000000,82135.015625,38520800
2021-03-02,85100.000000,85300.000000,83000.000000,83600.000000,83230.148438,33498180
2021-03-03,83500.000000,84000.000000,82800.000000,84000.000000,83628.382813,19882132
2021-03-04,82600.000000,83200.000000,82200.000000,82400.000000,82035.460938,24348331
2021-03-05,81100.000000,82600.000000,81100.000000,82100.000000,81736.789063,20508971
2021-03-08,82900.000000,83000.000000,81600.000000,82000.000000,81637.226563,17641256
2021-03-09,81400.000000,81900.000000,80600.000000,81400.000000,81039.882813,25420764
2021-03-10,82400.000000,82500.000000,80700.000000,80900.000000,80542.093750,20038422
2021-03-11,81000.000000,82500.000000,81000.000000,82000.000000,81637.226563,23818297
2021-03-12,83100.000000,83500.000000,82400.000000,82800.000000,82433.687500,13530573
2021-03-15,82800.000000,82900.000000,81800.000000,81800.000000,81438.117188,13735798
2021-03-16,82200.000000,83000.000000,82100.000000,82800.000000,82433.687500,12293537
2021-03-17,82800.000000,82900.000000,82000.000000,82300.000000,81935.898438,11625146
2021-03-18,82800.000000,83800.000000,82600.000000,82900.000000,82533.250000,18585244
2021-03-19,82100.000000,82500.000000,81800.000000,81900.000000,81537.671875,15869700
2021-03-22,82000.000000,82300.000000,81700.000000,82000.000000,81637.226563,12670506
2021-03-23,82600.000000,82900.000000,81800.000000,81800.000000,81438.117188,13299907
2021-03-24,81000.000000,81600.000000,80700.000000,81000.000000,80641.656250,17926638
2021-03-25,81000.000000,82100.000000,80800.000000,81200.000000,80840.765625,14758826
2021-03-26,81400.000000,81600.000000,81000.000000,81500.000000,81139.437500,12845778
2021-03-29,81700.000000,81700.000000,81000.000000,81600.000000,81239.000000,14952134
2021-03-30,81600.000000,82300.000000,81300.000000,82200.000000,82200.000000,13121698
2021-03-31,82400.000000,82700.000000,81400.000000,81400.000000,81400.000000,17240518
2021-04-01,82500.000000,83000.000000,82000.000000,82900.000000,82900.000000,18676461
2021-04-02,84000.000000,85200.000000,83900.000000,84800.000000,84800.000000,22997538
2021-04-05,85800.000000,86000.000000,84800.000000,85400.000000,85400.000000,16255990
